Age,Baden-Wuerttemberg_Male,Baden-Wuerttemberg_Female,Baden-Wuerttemberg_Total,Bayern_Male,Bayern_Female,Bayern_Total,Berlin_Male,Berlin_Female,Berlin_Total,Brandenburg_Male,Brandenburg_Female,Brandenburg_Total,Bremen_Male,Bremen_Female,Bremen_Total,Hamburg_Male,Hamburg_Female,Hamburg_Total,Hessen_Male,Hessen_Female,Hessen_Total,Mecklenburg-Vorpommern_Male,Mecklenburg-Vorpommern_Female,Mecklenburg-Vorpommern_Total,Niedersachsen_Male,Niedersachsen_Female,Niedersachsen_Total,Nordrhein-Westfalen_Male,Nordrhein-Westfalen_Female,Nordrhein-Westfalen_Total,Rheinland-Pfalz_Male,Rheinland-Pfalz_Female,Rheinland-Pfalz_Total,Saarland_Male,Saarland_Female,Saarland_Total,Sachsen_Male,Sachsen_Female,Sachsen_Total,Sachsen-Anhalt_Male,Sachsen-Anhalt_Female,Sachsen-Anhalt_Total,Schleswig-Holstein_Male,Schleswig-Holstein_Female,Schleswig-Holstein_Total,Th�ringen_Male,Th�ringen_Female,Th�ringen_Total
under 1 year,57332,55412,112744,68709,65286,133995,19578,18493,38071,9891,9403,19294,3454,3277,6731,10422,9934,20356,31752,29640,61392,6062,5841,11903,39334,37086,76420,89514,84551,174065,19776,18906,38682,4252,4108,8360,16721,15737,32458,8277,7705,15982,13094,12362,25456,7929,7416,15345
1 year,56079,52695,108774,66571,63387,129958,19392,18301,37693,10405,9778,20183,3466,3338,6804,10008,9338,19346,30702,28999,59701,6449,5973,12422,38910,36724,75634,88449,83382,171831,19739,18849,38588,4257,4028,8285,17246,16348,33594,8466,8022,16488,12888,12412,25300,8332,7862,16194
2 years,56214,53609,109823,66461,63108,129569,19393,18297,37690,10894,10305,21199,3668,3280,6948,9963,9527,19490,31068,29260,60328,6725,6358,13083,39138,37353,76491,88875,84115,172990,19797,18842,38639,4226,3980,8206,17800,17061,34861,8854,8316,17170,13273,12509,25782,8529,8347,16876
3 years,56934,54181,111115,66405,63228,129633,19290,18415,37705,11626,10883,22509,3515,3411,6926,9981,9438,19419,31701,30061,61762,6983,6636,13619,39750,37493,77243,90697,86069,176766,20236,19330,39566,4295,3995,8290,18634,17753,36387,9163,8782,17945,13715,12963,26678,9109,8662,17771
4 years,56759,54104,110863,66352,63601,129953,19596,18449,38045,12006,11510,23516,3507,3260,6767,10052,9411,19463,31938,30332,62270,7056,6783,13839,39778,38132,77910,91405,85855,177260,20829,19362,40191,4387,4193,8580,19337,18534,37871,9660,9059,18719,13849,13116,26965,9513,9080,18593
5 years,57010,53749,110759,66261,62989,129250,19389,18645,38034,12576,11932,24508,3453,3276,6729,9857,9576,19433,32082,30620,62702,7213,7074,14287,40182,38378,78560,91475,87134,178609,20688,19562,40250,4287,4275,8562,19818,18986,38804,9890,9215,19105,14003,13480,27483,9703,9364,19067
6 years,54617,52691,107308,63875,60825,124700,18653,17441,36094,12231,11418,23649,3441,3142,6583,9417,8992,18409,31332,29445,60777,7457,7085,14542,38973,36661,75634,88497,83500,171997,19854,18775,38629,4328,3930,8258,19831,18567,38398,9594,9191,18785,13650,12905,26555,9868,9211,19079
7 years,54121,50771,104892,62887,59346,122233,18109,17520,35629,12477,11917,24394,3298,3091,6389,9094,8775,17869,30231,29056,59287,7301,6973,14274,39033,36551,75584,87225,82312,169537,19512,18590,38102,4214,3990,8204,19569,18612,38181,9810,9155,18965,13439,13030,26469,9895,9374,19269
8 years,52454,49406,101860,60800,58334,119134,17537,16542,34079,11959,11244,23203,3060,2927,5987,8809,8406,17215,29523,28017,57540,7166,6890,14056,37052,35199,72251,84040,78418,162458,18656,17890,36546,4077,3695,7772,19282,17950,37232,9482,9033,18515,13192,12514,25706,9681,9234,18915
9 years,51677,48949,100626,60857,57337,118194,17525,16547,34072,12091,11575,23666,3059,2867,5926,8692,8173,16865,29555,27779,57334,7311,6853,14164,36957,34969,71926,83886,79366,163252,18662,17431,36093,4044,3822,7866,19153,18220,37373,9542,9073,18615,13434,12677,26111,9691,9081,18772
