Regions Code,Regions Label,Sex (2 categories) Code,Sex (2 categories) Label,Age (91 categories) Code,Age (91 categories) Label,Count
E12000001,North East,1,Female,0,Aged under 1 year,11975
E12000001,North East,1,Female,1,Aged 1 year,12750
E12000001,North East,1,Female,2,Aged 2 years,13084
E12000001,North East,1,Female,3,Aged 3 years,13516
E12000001,North East,1,Female,4,Aged 4 years,14206
E12000001,North East,1,Female,5,Aged 5 years,14199
E12000001,North East,1,Female,6,Aged 6 years,14105
E12000001,North East,1,Female,7,Aged 7 years,14391
E12000001,North East,1,Female,8,Aged 8 years,14996
E12000001,North East,1,Female,9,Aged 9 years,15311
E12000001,North East,1,Female,10,Aged 10 years,15301
E12000001,North East,1,Female,11,Aged 11 years,15145
E12000001,North East,1,Female,12,Aged 12 years,15024
E12000001,North East,1,Female,13,Aged 13 years,15094
E12000001,North East,1,Female,14,Aged 14 years,14708
E12000001,North East,1,Female,15,Aged 15 years,14118
E12000001,North East,1,Female,16,Aged 16 years,14203
E12000001,North East,1,Female,17,Aged 17 years,13898
E12000001,North East,1,Female,18,Aged 18 years,14750
E12000001,North East,1,Female,19,Aged 19 years,16607
E12000001,North East,1,Female,20,Aged 20 years,16495
E12000001,North East,1,Female,21,Aged 21 years,16319
E12000001,North East,1,Female,22,Aged 22 years,15986
E12000001,North East,1,Female,23,Aged 23 years,15635
E12000001,North East,1,Female,24,Aged 24 years,16110
E12000001,North East,1,Female,25,Aged 25 years,15515
E12000001,North East,1,Female,26,Aged 26 years,15979
E12000001,North East,1,Female,27,Aged 27 years,16355
E12000001,North East,1,Female,28,Aged 28 years,16554
E12000001,North East,1,Female,29,Aged 29 years,17438
E12000001,North East,1,Female,30,Aged 30 years,17474
E12000001,North East,1,Female,31,Aged 31 years,16915
E12000001,North East,1,Female,32,Aged 32 years,17245
E12000001,North East,1,Female,33,Aged 33 years,17840
E12000001,North East,1,Female,34,Aged 34 years,17567
E12000001,North East,1,Female,35,Aged 35 years,17292
E12000001,North East,1,Female,36,Aged 36 years,17213
E12000001,North East,1,Female,37,Aged 37 years,16491
E12000001,North East,1,Female,38,Aged 38 years,16533
E12000001,North East,1,Female,39,Aged 39 years,16509
E12000001,North East,1,Female,40,Aged 40 years,17024
E12000001,North East,1,Female,41,Aged 41 years,16821
E12000001,North East,1,Female,42,Aged 42 years,15631
E12000001,North East,1,Female,43,Aged 43 years,14106
E12000001,North East,1,Female,44,Aged 44 years,14260
E12000001,North East,1,Female,45,Aged 45 years,15092
E12000001,North East,1,Female,46,Aged 46 years,15191
E12000001,North East,1,Female,47,Aged 47 years,15849
E12000001,North East,1,Female,48,Aged 48 years,16757
E12000001,North East,1,Female,49,Aged 49 years,18347
E12000001,North East,1,Female,50,Aged 50 years,18655
E12000001,North East,1,Female,51,Aged 51 years,18092
E12000001,North East,1,Female,52,Aged 52 years,18760
E12000001,North East,1,Female,53,Aged 53 years,18845
E12000001,North East,1,Female,54,Aged 54 years,19445
E12000001,North East,1,Female,55,Aged 55 years,19642
E12000001,North East,1,Female,56,Aged 56 years,19782
E12000001,North East,1,Female,57,Aged 57 years,19934
E12000001,North East,1,Female,58,Aged 58 years,19539
E12000001,North East,1,Female,59,Aged 59 years,19391
E12000001,North East,1,Female,60,Aged 60 years,18530
E12000001,North East,1,Female,61,Aged 61 years,18072
E12000001,North East,1,Female,62,Aged 62 years,18321
E12000001,North East,1,Female,63,Aged 63 years,17791
E12000001,North East,1,Female,64,Aged 64 years,16885
E12000001,North East,1,Female,65,Aged 65 years,16279
E12000001,North East,1,Female,66,Aged 66 years,15590
E12000001,North East,1,Female,67,Aged 67 years,15586
E12000001,North East,1,Female,68,Aged 68 years,15265
E12000001,North East,1,Female,69,Aged 69 years,14757
E12000001,North East,1,Female,70,Aged 70 years,14799
E12000001,North East,1,Female,71,Aged 71 years,15091
E12000001,North East,1,Female,72,Aged 72 years,15130
E12000001,North East,1,Female,73,Aged 73 years,16290
E12000001,North East,1,Female,74,Aged 74 years,15975
E12000001,North East,1,Female,75,Aged 75 years,11823
E12000001,North East,1,Female,76,Aged 76 years,12381
E12000001,North East,1,Female,77,Aged 77 years,10797
E12000001,North East,1,Female,78,Aged 78 years,10013
E12000001,North East,1,Female,79,Aged 79 years,8934
